device_id,event_date,maintenance_type,pre_level_median_3d,post_level_median_3d,gain_abs,gain_rel,pre_slope_7d,post_slope_7d,post_intraday_std_mean_7d,recovery_stable,effect_duration_days,effect_duration_right_censored,eligible_for_effect_analysis,ineligible_reason,pre_available_days,post_available_days,post_recovery_level,H_max_est,recoverable_space,rho_raw,rho_clipped,eligible_for_rho_estimation,rho_ineligible_reason
a1,2024-05-18,medium,83.7810440406989,105.37690434594384,21.59586030524494,0.25776547132492367,-0.016034433481249267,-0.3421100630296599,0.8558805731622551,True,61.0,True,True,,3,3,105.37690434594384,116.06653786299302,32.285493822294114,0.6689028956506883,0.6689028956506883,True,
a1,2024-07-19,medium,99.41346115170023,111.37040428770217,11.95694313600194,0.12027489031647545,0.3582433296556106,-0.21005464990791012,1.8301587121017246,True,50.0,False,True,,3,3,111.37040428770217,116.06653786299302,16.653076711292783,0.7180020451051966,0.7180020451051966,True,
a1,2024-10-01,medium,93.42752441055603,98.32772566473854,4.900201254182505,0.05244922505544682,-0.5940647217478268,-0.5667582480551668,0.8081373395894695,True,10.0,False,True,,2,3,98.32772566473854,116.06653786299302,22.639013452436984,0.21644941660013112,0.21644941660013112,True,
a1,2024-12-02,major,74.55514451599463,92.75793531781956,18.202790801824932,0.24415204235731594,-0.45109447825878407,-0.42247550298724185,0.9003991099008423,True,26.0,False,True,,3,3,92.75793531781956,116.06653786299302,41.51139334699839,0.4385010796834923,0.4385010796834923,True,
a1,2025-01-21,medium,70.36239520077122,95.65059164409134,25.288196443320118,0.35939931224858224,-0.5058567718480091,-0.31980441345428695,0.1914680054385101,True,51.0,True,True,,3,3,95.65059164409134,116.06653786299302,45.7041426622218,0.5533020634521797,0.5533020634521797,True,
a1,2025-03-14,medium,81.93393064022463,113.46229731026534,31.52836667004071,0.3848023208905125,-0.18988429905023452,-0.29988361438335737,1.0245152758255005,True,56.0,True,True,,3,3,113.46229731026534,116.06653786299302,34.132607222768385,0.9237022669926457,0.9237022669926457,True,
a1,2025-05-10,medium,99.03503991190293,106.61005064988565,7.575010737982723,0.07648818786483157,-0.09915842735946825,-0.29021381396721374,0.7117902659591727,True,19.0,False,True,,3,3,106.61005064988565,116.06653786299302,17.03149795109009,0.44476479753784015,0.44476479753784015,True,
a1,2025-06-29,medium,99.26804714174303,106.5649180804425,7.29687093869947,0.07350674410145695,0.11301277035439787,-0.11263421567423089,3.018596776103752,True,43.0,False,True,,3,3,106.5649180804425,116.06653786299302,16.79849072124999,0.434376579407159,0.434376579407159,True,
a1,2025-09-15,medium,89.44568103113231,110.977462902728,21.531781871595697,0.24072466801500883,-0.614783276113785,-0.8363312646596077,0.6107375060556466,True,25.0,False,True,,3,3,110.977462902728,116.06653786299302,26.620856831860706,0.808831286220125,0.808831286220125,True,
a1,2025-11-14,major,78.56879733464704,80.91698641087254,2.348189076225495,0.02988704365963353,-0.4235836272930048,-0.8633581047380235,0.5304023627179807,True,5.0,False,True,,3,3,80.91698641087254,116.06653786299302,37.49774052834597,0.06262214851186591,0.06262214851186591,True,
a1,2026-01-19,medium,39.9345682275492,95.27960591588236,55.34503768833316,1.385892978057865,-0.9413507642829276,-0.5847298172808217,0.24956886824787308,True,46.0,True,True,,3,3,95.27960591588236,116.06653786299302,76.13196963544382,0.7269618526008402,0.7269618526008402,True,
a1,2026-03-07,medium,,104.21450497021083,,,-0.3960176904801614,-0.3459815777345356,0.48508937335144814,False,,False,False,insufficient_pre_days,1,3,104.21450497021083,116.06653786299302,,,,False,effect_ineligible;missing_pre_or_post
a2,2024-06-04,medium,,86.51513775900013,,,-0.15410026412213107,-0.20636505351054119,2.3298032322791076,False,,False,False,insufficient_pre_days,1,3,86.51513775900013,116.06653786299302,,,,False,effect_ineligible;missing_pre_or_post
a2,2024-08-16,medium,82.41294306287028,99.62844915031208,17.215506087441796,0.20889323263590548,0.2811909666415957,0.15841208582843347,1.89833080786555,False,44.0,False,True,,3,2,99.62844915031208,116.06653786299302,33.65359480012273,0.5115502872631904,0.5115502872631904,True,
a2,2024-11-03,medium,73.7977845210954,90.0731998503981,16.275415329302703,0.22054070369348702,-0.41381615237979524,-0.18215720277275693,0.9329188810546392,True,24.0,False,True,,3,3,90.0731998503981,116.06653786299302,42.26875334189762,0.38504602200250343,0.38504602200250343,True,
a2,2025-01-01,medium,63.348954169825305,74.22397690776191,10.875022737936604,0.17166854418437502,-0.20186050302595343,-0.4456257760847718,0.3645289660291987,True,19.0,False,True,,2,3,74.22397690776191,116.06653786299302,52.71758369316771,0.20628833827499618,0.20628833827499618,True,
