device_id,year,n_major_before_cap,n_major_after_cap,n_major_downgraded_to_medium,cap_rule
a3,2038,1,1,0,0_to_4_major_per_year
a3,2039,1,1,0,0_to_4_major_per_year
a3,2040,1,1,0,0_to_4_major_per_year
a3,2041,1,1,0,0_to_4_major_per_year
a3,2042,1,1,0,0_to_4_major_per_year
a3,2043,1,1,0,0_to_4_major_per_year
a3,2044,1,1,0,0_to_4_major_per_year
a3,2029,2,2,0,0_to_4_major_per_year
a3,2030,0,0,0,0_to_4_major_per_year
a3,2031,1,1,0,0_to_4_major_per_year
a3,2032,1,1,0,0_to_4_major_per_year
a3,2033,1,1,0,0_to_4_major_per_year
a3,2034,1,1,0,0_to_4_major_per_year
a3,2035,1,1,0,0_to_4_major_per_year
a3,2076,1,1,0,0_to_4_major_per_year
a3,2069,1,1,0,0_to_4_major_per_year
a3,2070,0,0,0,0_to_4_major_per_year
a3,2071,2,2,0,0_to_4_major_per_year
a3,2072,0,0,0,0_to_4_major_per_year
a3,2073,1,1,0,0_to_4_major_per_year
a3,2074,1,1,0,0_to_4_major_per_year
a3,2075,1,1,0,0_to_4_major_per_year
a3,2068,1,1,0,0_to_4_major_per_year
a3,2061,1,1,0,0_to_4_major_per_year
a3,2062,1,1,0,0_to_4_major_per_year
a3,2063,1,1,0,0_to_4_major_per_year
a3,2064,1,1,0,0_to_4_major_per_year
a3,2065,1,1,0,0_to_4_major_per_year
a3,2066,1,1,0,0_to_4_major_per_year
a3,2067,1,1,0,0_to_4_major_per_year
a3,2059,1,1,0,0_to_4_major_per_year
a3,2058,1,1,0,0_to_4_major_per_year
a3,2057,1,1,0,0_to_4_major_per_year
a3,2056,1,1,0,0_to_4_major_per_year
a3,2055,1,1,0,0_to_4_major_per_year
a3,2054,1,1,0,0_to_4_major_per_year
a3,2053,1,1,0,0_to_4_major_per_year
a3,2060,1,1,0,0_to_4_major_per_year
a3,2052,1,1,0,0_to_4_major_per_year
a4,2053,0,0,0,0_to_4_major_per_year
a4,2052,0,0,0,0_to_4_major_per_year
a4,2051,0,0,0,0_to_4_major_per_year
a4,2050,0,0,0,0_to_4_major_per_year
a4,2049,0,0,0,0_to_4_major_per_year
a4,2048,0,0,0,0_to_4_major_per_year
a4,2047,0,0,0,0_to_4_major_per_year
a4,2046,0,0,0,0_to_4_major_per_year
a4,2045,0,0,0,0_to_4_major_per_year
a4,2044,0,0,0,0_to_4_major_per_year
a4,2043,0,0,0,0_to_4_major_per_year
a4,2042,0,0,0,0_to_4_major_per_year
a4,2041,0,0,0,0_to_4_major_per_year
a4,2040,0,0,0,0_to_4_major_per_year
a4,2039,0,0,0,0_to_4_major_per_year
a4,2038,0,0,0,0_to_4_major_per_year
a4,2069,0,0,0,0_to_4_major_per_year
a4,2068,0,0,0,0_to_4_major_per_year
a4,2067,0,0,0,0_to_4_major_per_year
a4,2066,0,0,0,0_to_4_major_per_year
a4,2065,0,0,0,0_to_4_major_per_year
a4,2064,0,0,0,0_to_4_major_per_year
a4,2063,0,0,0,0_to_4_major_per_year
a4,2062,0,0,0,0_to_4_major_per_year
a4,2061,0,0,0,0_to_4_major_per_year
a4,2060,0,0,0,0_to_4_major_per_year
a4,2059,0,0,0,0_to_4_major_per_year
a4,2058,0,0,0,0_to_4_major_per_year
a4,2057,0,0,0,0_to_4_major_per_year
a4,2056,0,0,0,0_to_4_major_per_year
a4,2055,0,0,0,0_to_4_major_per_year
a4,2054,0,0,0,0_to_4_major_per_year
a4,2073,0,0,0,0_to_4_major_per_year
a4,2070,0,0,0,0_to_4_major_per_year
a4,2072,0,0,0,0_to_4_major_per_year
a4,2071,0,0,0,0_to_4_major_per_year
a4,2075,0,0,0,0_to_4_major_per_year
a4,2074,0,0,0,0_to_4_major_per_year
a4,2076,0,0,0,0_to_4_major_per_year
a4,2034,0,0,0,0_to_4_major_per_year
a4,2029,0,0,0,0_to_4_major_per_year
a4,2028,0,0,0,0_to_4_major_per_year
a4,2027,0,0,0,0_to_4_major_per_year
a4,2026,0,0,0,0_to_4_major_per_year
a4,2033,0,0,0,0_to_4_major_per_year
a4,2032,0,0,0,0_to_4_major_per_year
a4,2031,0,0,0,0_to_4_major_per_year
a4,2030,0,0,0,0_to_4_major_per_year
a4,2037,0,0,0,0_to_4_major_per_year
a4,2036,0,0,0,0_to_4_major_per_year
a4,2035,0,0,0,0_to_4_major_per_year
a5,2047,0,0,0,0_to_4_major_per_year
