model_name,mae,rmse,mape,post_maintenance_7d_mae,rolling365_mae,n_validation_samples,use_seasonal,use_cycle_decay,use_maintenance_gain,use_shrinkage,use_hmax
M0_baseline,12.190142343438788,14.964227258145591,0.20737035723209218,9.366175144644656,2.0862595804789947,1533,True,False,False,False,False
M1_decay,28.97916471402469,34.64140224780136,0.4371413764394257,40.33924520393155,4.925198280411103,1533,True,True,False,True,False
M2_decay_gain,10.041766066497317,12.817041599521568,0.16595402550881144,10.668258781151787,1.7007909894953244,1533,True,True,True,False,False
M3_decay_gain_shrinkage,10.696651919580436,12.905303687872346,0.1819574955068548,11.416756325801362,1.4552070218619388,1533,True,True,True,True,False
M4_full_hmax,10.684833067498115,12.887928055721751,0.18173413278040024,11.394530768278026,1.4551041849418065,1533,True,True,True,True,True
