model_name,hmax_scenario,device_id,commission_date,prediction_start_date,age_at_prediction_start_years,current_real_rolling365,first_date_rolling365_below_37,lifetime_end_date,remaining_life_years,predicted_total_life_years,status,M_at_lifetime_test
fixed_gain_baseline_major_sensitivity,neutral,a1,2022-04-01,2026-04-12,4.030116358658453,90.58501076772423,,,,,not_reached_within_horizon,
fixed_gain_baseline_major_sensitivity,neutral,a10,2022-04-01,2026-04-12,4.030116358658453,71.71774881933914,2027-01-12,2027-01-12,0.7529089664613279,4.78302532511978,lifetime_end,36.94537604635747
fixed_gain_baseline_major_sensitivity,neutral,a2,2022-04-01,2026-04-12,4.030116358658453,67.1571480547334,2029-09-06,2029-10-08,3.490759753593429,7.520876112251882,lifetime_end,36.966258709725025
fixed_gain_baseline_major_sensitivity,neutral,a3,2022-04-01,2026-04-12,4.030116358658453,88.6515429681911,2032-02-07,2032-02-07,5.823408624229979,9.853524982888432,lifetime_end,36.98583477047427
fixed_gain_baseline_major_sensitivity,neutral,a4,2022-04-01,2026-04-12,4.030116358658453,101.40817970728784,,,,,not_reached_within_horizon,
fixed_gain_baseline_major_sensitivity,neutral,a5,2022-04-01,2026-04-12,4.030116358658453,76.52158104564066,2030-09-13,2030-09-13,4.421629021218344,8.451745379876797,lifetime_end,36.99413527957418
fixed_gain_baseline_major_sensitivity,neutral,a6,2022-04-01,2026-04-12,4.030116358658453,88.29265687847739,,,,,not_reached_within_horizon,
fixed_gain_baseline_major_sensitivity,neutral,a7,2022-04-01,2026-04-12,4.030116358658453,82.42586390955375,2029-11-10,2029-11-10,3.5811088295687883,7.611225188227241,lifetime_end,36.987096692262504
fixed_gain_baseline_major_sensitivity,neutral,a8,2022-04-01,2026-04-12,4.030116358658453,81.16723289715755,2029-07-05,2029-07-05,3.2306639288158796,7.260780287474333,lifetime_end,36.98937378905679
fixed_gain_baseline_major_sensitivity,neutral,a9,2022-04-01,2026-04-12,4.030116358658453,77.46763149516717,2032-06-27,2032-06-27,6.209445585215605,10.239561943874058,lifetime_end,36.985905320203386
recovery_ratio_main,neutral,a1,2022-04-01,2026-04-12,4.030116358658453,90.58501076772423,2055-03-13,2055-05-04,29.059548254620122,33.08966461327857,lifetime_end,36.99213549673932
recovery_ratio_main,neutral,a10,2022-04-01,2026-04-12,4.030116358658453,71.71774881933914,2027-03-12,2027-03-12,0.9144421629021219,4.944558521560575,lifetime_end,36.94680702516981
recovery_ratio_main,neutral,a2,2022-04-01,2026-04-12,4.030116358658453,67.1571480547334,2029-01-22,2029-02-26,2.8774811772758384,6.907597535934292,lifetime_end,36.980938734818714
recovery_ratio_main,neutral,a3,2022-04-01,2026-04-12,4.030116358658453,88.6515429681911,2031-06-24,2031-06-24,5.19917864476386,9.229295003422312,lifetime_end,36.9877799459697
recovery_ratio_main,neutral,a4,2022-04-01,2026-04-12,4.030116358658453,101.40817970728784,,,,,not_reached_within_horizon,
recovery_ratio_main,neutral,a5,2022-04-01,2026-04-12,4.030116358658453,76.52158104564066,2030-01-06,2030-01-06,3.7371663244353184,7.767282683093772,lifetime_end,36.99306977337899
recovery_ratio_main,neutral,a6,2022-04-01,2026-04-12,4.030116358658453,88.29265687847739,,,,,not_reached_within_horizon,
recovery_ratio_main,neutral,a7,2022-04-01,2026-04-12,4.030116358658453,82.42586390955375,2029-06-05,2029-06-05,3.1485284052019167,7.178644763860369,lifetime_end,36.96286086594076
recovery_ratio_main,neutral,a8,2022-04-01,2026-04-12,4.030116358658453,81.16723289715755,2029-01-23,2029-02-20,2.861054072553046,6.891170431211499,lifetime_end,36.97566348608819
recovery_ratio_main,neutral,a9,2022-04-01,2026-04-12,4.030116358658453,77.46763149516717,2032-01-07,2032-01-07,5.738535249828884,9.768651608487337,lifetime_end,36.973385568537694
recovery_ratio_main_hmax_optimistic,optimistic,a1,2022-04-01,2026-04-12,4.030116358658453,90.58501076772423,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_optimistic,optimistic,a10,2022-04-01,2026-04-12,4.030116358658453,71.71774881933914,2027-04-02,2027-04-02,0.971937029431896,5.002053388090348,lifetime_end,36.989325785698476
recovery_ratio_main_hmax_optimistic,optimistic,a2,2022-04-01,2026-04-12,4.030116358658453,67.1571480547334,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_optimistic,optimistic,a3,2022-04-01,2026-04-12,4.030116358658453,88.6515429681911,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_optimistic,optimistic,a4,2022-04-01,2026-04-12,4.030116358658453,101.40817970728784,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_optimistic,optimistic,a5,2022-04-01,2026-04-12,4.030116358658453,76.52158104564066,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_optimistic,optimistic,a6,2022-04-01,2026-04-12,4.030116358658453,88.29265687847739,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_optimistic,optimistic,a7,2022-04-01,2026-04-12,4.030116358658453,82.42586390955375,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_optimistic,optimistic,a8,2022-04-01,2026-04-12,4.030116358658453,81.16723289715755,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_optimistic,optimistic,a9,2022-04-01,2026-04-12,4.030116358658453,77.46763149516717,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_pessimistic,pessimistic,a1,2022-04-01,2026-04-12,4.030116358658453,90.58501076772423,2041-02-21,2041-04-05,14.981519507186858,19.01163586584531,lifetime_end,36.99522698100556
recovery_ratio_main_hmax_pessimistic,pessimistic,a10,2022-04-01,2026-04-12,4.030116358658453,71.71774881933914,2027-02-20,2027-02-20,0.8596851471594799,4.889801505817933,lifetime_end,36.95568380215833
recovery_ratio_main_hmax_pessimistic,pessimistic,a2,2022-04-01,2026-04-12,4.030116358658453,67.1571480547334,2027-12-13,2027-12-13,1.6700889801505818,5.700205338809035,lifetime_end,36.984711652346945
recovery_ratio_main_hmax_pessimistic,pessimistic,a3,2022-04-01,2026-04-12,4.030116358658453,88.6515429681911,2029-03-07,2029-03-07,2.9021218343600275,6.93223819301848,lifetime_end,36.987772204374636
recovery_ratio_main_hmax_pessimistic,pessimistic,a4,2022-04-01,2026-04-12,4.030116358658453,101.40817970728784,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_pessimistic,pessimistic,a5,2022-04-01,2026-04-12,4.030116358658453,76.52158104564066,2028-06-14,2028-06-14,2.1738535249828885,6.203969883641341,lifetime_end,36.99892487361885
recovery_ratio_main_hmax_pessimistic,pessimistic,a6,2022-04-01,2026-04-12,4.030116358658453,88.29265687847739,,,,,not_reached_within_horizon,
recovery_ratio_main_hmax_pessimistic,pessimistic,a7,2022-04-01,2026-04-12,4.030116358658453,82.42586390955375,2028-02-16,2028-02-16,1.8480492813141685,5.878165639972622,lifetime_end,36.98815345781154
recovery_ratio_main_hmax_pessimistic,pessimistic,a8,2022-04-01,2026-04-12,4.030116358658453,81.16723289715755,2028-01-31,2028-01-31,1.8042436687200547,5.834360027378508,lifetime_end,36.94386719782519
recovery_ratio_main_hmax_pessimistic,pessimistic,a9,2022-04-01,2026-04-12,4.030116358658453,77.46763149516717,2029-05-29,2029-05-29,3.1293634496919918,7.1594798083504445,lifetime_end,36.988634101773314
recovery_ratio_main_major_sensitivity,neutral,a1,2022-04-01,2026-04-12,4.030116358658453,90.58501076772423,2055-03-13,2055-05-04,29.059548254620122,33.08966461327857,lifetime_end,36.99213549673932
recovery_ratio_main_major_sensitivity,neutral,a10,2022-04-01,2026-04-12,4.030116358658453,71.71774881933914,2027-03-12,2027-03-12,0.9144421629021219,4.944558521560575,lifetime_end,36.94680702516981
recovery_ratio_main_major_sensitivity,neutral,a2,2022-04-01,2026-04-12,4.030116358658453,67.1571480547334,2029-01-22,2029-02-26,2.8774811772758384,6.907597535934292,lifetime_end,36.980938734818714
recovery_ratio_main_major_sensitivity,neutral,a3,2022-04-01,2026-04-12,4.030116358658453,88.6515429681911,2031-06-24,2031-06-24,5.19917864476386,9.229295003422312,lifetime_end,36.9877799459697
recovery_ratio_main_major_sensitivity,neutral,a4,2022-04-01,2026-04-12,4.030116358658453,101.40817970728784,,,,,not_reached_within_horizon,
recovery_ratio_main_major_sensitivity,neutral,a5,2022-04-01,2026-04-12,4.030116358658453,76.52158104564066,2030-02-09,2030-02-09,3.8302532511978096,7.860369609856262,lifetime_end,36.98872688841651
recovery_ratio_main_major_sensitivity,neutral,a6,2022-04-01,2026-04-12,4.030116358658453,88.29265687847739,,,,,not_reached_within_horizon,
recovery_ratio_main_major_sensitivity,neutral,a7,2022-04-01,2026-04-12,4.030116358658453,82.42586390955375,2029-06-05,2029-06-05,3.1485284052019167,7.178644763860369,lifetime_end,36.96286086594076
recovery_ratio_main_major_sensitivity,neutral,a8,2022-04-01,2026-04-12,4.030116358658453,81.16723289715755,2029-03-18,2029-04-15,3.0088980150581794,7.039014373716633,lifetime_end,36.98171936294644
recovery_ratio_main_major_sensitivity,neutral,a9,2022-04-01,2026-04-12,4.030116358658453,77.46763149516717,2032-01-07,2032-01-07,5.738535249828884,9.768651608487337,lifetime_end,36.973385568537694
