model_name,hmax_scenario,device_id,future_event_index,date,maintenance_type,rule_type,rho_used_source,service_cap_scenario,year
fixed_gain_baseline_hmax_optimistic,optimistic,a3,1,2026-04-12,major,triggered_major_time_device_history,fixed_gain_model,neutral,2026
fixed_gain_baseline_hmax_optimistic,optimistic,a3,2,2026-06-06,medium,triggered_medium_time,fixed_gain_model,neutral,2026
recovery_ratio_main_hmax_optimistic,optimistic,a3,1,2026-04-12,major,triggered_major_time_device_history,global_rho,neutral,2026
recovery_ratio_main_hmax_optimistic,optimistic,a3,2,2026-06-06,medium,triggered_medium_time,global_rho,neutral,2026
fixed_gain_baseline_hmax_pessimistic,pessimistic,a3,1,2026-04-12,major,triggered_major_time_device_history,fixed_gain_model,neutral,2026
fixed_gain_baseline_hmax_pessimistic,pessimistic,a3,2,2026-06-06,medium,triggered_medium_time,fixed_gain_model,neutral,2026
recovery_ratio_main_hmax_pessimistic,pessimistic,a3,1,2026-04-12,major,triggered_major_time_device_history,global_rho,neutral,2026
recovery_ratio_main_hmax_pessimistic,pessimistic,a3,2,2026-06-06,medium,triggered_medium_time,global_rho,neutral,2026
fixed_gain_baseline_major_sensitivity,neutral,a3,1,2026-04-12,major,triggered_major_time_device_history,fixed_gain_model,neutral,2026
fixed_gain_baseline_major_sensitivity,neutral,a3,2,2026-06-06,medium,triggered_medium_time,fixed_gain_model,neutral,2026
recovery_ratio_main_major_sensitivity,neutral,a3,1,2026-04-12,major,triggered_major_time_device_history,global_rho,neutral,2026
recovery_ratio_main_major_sensitivity,neutral,a3,2,2026-06-06,medium,triggered_medium_time,global_rho,neutral,2026
fixed_gain_baseline,neutral,a4,1,2026-05-08,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline,neutral,a4,2,2026-07-04,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline,neutral,a4,3,2026-08-30,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline,neutral,a4,4,2026-10-18,medium,triggered_medium_decline_speed,fixed_gain_model,neutral,2026
fixed_gain_baseline,neutral,a4,5,2026-12-06,medium,triggered_medium_decline_speed,fixed_gain_model,neutral,2026
fixed_gain_baseline,neutral,a4,6,2027-01-24,medium,triggered_medium_decline_speed,fixed_gain_model,neutral,2027
fixed_gain_baseline,neutral,a4,7,2027-03-22,medium,triggered_medium_time,fixed_gain_model,neutral,2027
fixed_gain_baseline,neutral,a4,8,2027-05-18,medium,triggered_medium_time,fixed_gain_model,neutral,2027
fixed_gain_baseline,neutral,a4,9,2027-07-14,medium,triggered_medium_time,fixed_gain_model,neutral,2027
fixed_gain_baseline,neutral,a4,10,2027-09-09,medium,triggered_medium_time,fixed_gain_model,neutral,2027
fixed_gain_baseline,neutral,a4,11,2027-10-28,medium,triggered_medium_decline_speed,fixed_gain_model,neutral,2027
