term,estimate,std_err_hc3,p_value,conf_low,conf_high,nobs,base_device
const,43.430653561006466,9.22222582729781,2.485127318996556e-06,25.35509093950276,61.50621618251017,119,a1
is_major,-3.175209665063525,1.9808744192943633,0.10894937018074466,-7.057723526880476,0.707304196753427,119,a1
pre_level_median_3d,-0.2513733790563978,0.054197956457743335,3.5169453940219363e-06,-0.3576013737135747,-0.14514538439922087,119,a1
maintenance_interval_days,-0.051088060495501963,0.11570998015403143,0.6588378989803895,-0.27787962159740354,0.17570350060639964,119,a1
seasonal_index_adjusted,0.14199089141749255,0.17272087459952004,0.4110296711018238,-0.19654202279756672,0.4805238056325518,119,a1
device_a2,-8.01976135557129,4.535370895484967,0.07701573756104937,-16.909088310721827,0.8695655995792446,119,a1
device_a3,-2.383023727198804,4.46856375868281,0.5938354261676795,-11.141408694217112,6.3753612398195045,119,a1
device_a4,2.6113737850138534,4.720291697332941,0.5801107410392657,-6.640397941758712,11.863145511786419,119,a1
device_a5,-2.8471855349658313,4.60136296240098,0.5360678631112421,-11.865856941271753,6.17148587134009,119,a1
device_a6,0.2638984006349716,4.8493448725554975,0.9566010289885603,-9.240817549573803,9.768614350843746,119,a1
device_a7,-4.2044913658843655,4.915177555132308,0.39232428453510504,-13.838239373943688,5.429256642174957,119,a1
device_a8,-5.135805577950691,4.65495719032378,0.2698977170696328,-14.2595216709853,3.987910515083918,119,a1
device_a9,-4.277524088061369,4.419571184170838,0.3331145284319555,-12.939883609036212,4.384835432913473,119,a1
device_a10,-4.999333855720039,4.618222078716779,0.27901998605988426,-14.051049130004925,4.052381418564847,119,a1
