term,estimate,std_err_hc3,p_value,conf_low,conf_high,nobs,r_squared,adj_r_squared
const,97.16808784009368,0.8299089757129692,0.0,95.54146624769626,98.79470943249109,6472,0.5815727154891224,0.5800150522615342
days_since_last_maintenance,-0.2903875596319363,0.010137582069717559,1.868545837335095e-180,-0.31025722048858273,-0.27051789877528987,6472,0.5815727154891224,0.5800150522615342
days_from_observation_start,-0.029950367655780533,0.0009848822457987308,4.03915714213168e-203,-0.03188073685754605,-0.02801999845401502,6472,0.5815727154891224,0.5800150522615342
post_medium_window_1_3,1.4698674931866549,0.875547631220331,0.09319144503600481,-0.24620586400519384,3.1859408503785036,6472,0.5815727154891224,0.5800150522615342
post_major_window_1_3,-1.0345563493263512,1.8129938300720243,0.5682476060863926,-4.588024256267518,2.518911557614816,6472,0.5815727154891224,0.5800150522615342
device_a2,-20.138961640530283,0.4594141043463307,0.0,-21.03941328504909,-19.238509996011476,6472,0.5815727154891224,0.5800150522615342
device_a3,-0.16577030342574517,0.47923760844179913,0.7294147092009968,-1.1050760159716715,0.7735354091201811,6472,0.5815727154891224,0.5800150522615342
device_a4,3.46875189025684,0.7451456281949319,3.237718777815038e-06,2.0082664589947736,4.929237321518906,6472,0.5815727154891224,0.5800150522615342
device_a5,-2.1842722028890194,0.6799415579935743,0.001316121347163063,-3.516957656556425,-0.8515867492216138,6472,0.5815727154891224,0.5800150522615342
device_a6,-16.19399634192223,1.0007814524534677,6.827919344689508e-59,-18.155527988731027,-14.232464695113432,6472,0.5815727154891224,0.5800150522615342
device_a7,-5.0795159669712575,0.5424741334139779,7.705819320127663e-21,-6.142765268462654,-4.016266665479861,6472,0.5815727154891224,0.5800150522615342
device_a8,-0.5349091206733192,0.6127407053574107,0.3826751001620855,-1.735880903173844,0.6660626618272056,6472,0.5815727154891224,0.5800150522615342
device_a9,-10.587269577792199,0.46556717080452725,1.778450335854419e-114,-11.499781232569072,-9.674757923015326,6472,0.5815727154891224,0.5800150522615342
device_a10,-2.8863631394989397,0.8771044889031049,0.0009990789881184478,-4.605487937749025,-1.1672383412488543,6472,0.5815727154891224,0.5800150522615342
month_2,1.7472525701721224,0.8724966252978028,0.04522136910239887,0.03715918458842893,3.457345955755816,6472,0.5815727154891224,0.5800150522615342
month_3,6.538374079406822,0.8837997516058947,1.3822315821637159e-13,4.806126566259268,8.270621592554376,6472,0.5815727154891224,0.5800150522615342
month_4,12.861483144121223,0.8572008264292562,6.907393489135109e-51,11.18136952431988,14.541596763922566,6472,0.5815727154891224,0.5800150522615342
month_5,18.200006133873615,0.7228465088434987,6.934938011758101e-140,16.78322697654036,19.61678529120687,6472,0.5815727154891224,0.5800150522615342
month_6,21.838091256473547,0.8115262503212975,1.6819861655031844e-159,20.247499805843802,23.42868270710329,6472,0.5815727154891224,0.5800150522615342
month_7,26.609250788196505,0.7756514396518771,6.456790224648479e-258,25.088973966478825,28.129527609914184,6472,0.5815727154891224,0.5800150522615342
month_8,31.60608389057569,0.7492303304345751,0.0,30.13759244292392,33.074575338227454,6472,0.5815727154891224,0.5800150522615342
month_9,29.85050522654251,0.8147302991172584,6.97358445395139e-294,28.253633840272684,31.447376612812334,6472,0.5815727154891224,0.5800150522615342
month_10,19.65085792010757,0.7797798409858087,3.9533768626923457e-140,18.122489431775385,21.179226408439753,6472,0.5815727154891224,0.5800150522615342
month_11,12.080984224981194,0.7874005286876665,3.953212628035419e-53,10.537679188753367,13.62428926120902,6472,0.5815727154891224,0.5800150522615342
month_12,5.310097458741609,0.8169274704468258,8.027499316986318e-11,3.7089196166658303,6.911275300817388,6472,0.5815727154891224,0.5800150522615342
