device_id,min,max,p99,p99_9,upper_bound_review_needed,upper_bound_used
a1,38.6385107329374,140.370353586497,112.96327665710695,126.73160936232696,False,250.0
a2,28.0564208372709,121.718689733117,99.01378233628583,104.32401738143213,False,250.0
a3,51.501996929975,154.568830938815,122.06980850727606,131.56222429018376,False,250.0
a4,31.5564611640717,143.747564348607,125.98749766934564,130.9757853452384,False,250.0
a5,34.5337866077768,149.81116766406,118.64955150220226,129.34634614415205,False,250.0
a6,28.646090817474,155.921773856801,122.87396788814523,128.1885209580916,False,250.0
a7,39.40537368734,158.571024616352,119.72427414920426,121.93347663346144,False,250.0
a8,37.6306352761806,165.146955934656,133.2041295529017,138.4782513143241,False,250.0
a9,44.1879616843416,139.389191501083,106.36564251280055,114.02605395691816,False,250.0
a10,26.4309793605295,180.0,144.21130760554502,163.63154896403904,False,250.0
all,26.4309793605295,180.0,137.95103387675562,144.470793468906,False,250.0
