maintenance_type,n_events,jump_gain_median,jump_gain_ratio_median,plateau_gain_median,plateau_gain_ratio_median,upper_recovery_ratio_median,hold_ratio_7d_median,post_7d_change_median
medium,110,18.32157804274975,0.24671966841539034,17.83808022037603,0.24283963344113885,0.8723205974211266,0.8919576699801237,-2.1239059788580477
major,17,16.544717518742253,0.2313834375018525,16.344591108792773,0.23315702835717828,0.7605458199117345,0.8444878545818248,-3.6050741079189024
