section,term,month,value,coef,std_err,t_value,p_value,n_samples,r_squared,model_name
seasonal_level,seasonal_level_used,1.0,-16.737416547332458,,,,,576,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,2.0,-12.969102413334966,,,,,486,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,3.0,-7.993894251279294,,,,,569,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,4.0,-2.0531511943696548,,,,,363,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,5.0,2.1263517728889947,,,,,344,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,6.0,7.357155402327613,,,,,565,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,7.0,11.156700989814873,,,,,596,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,8.0,14.322300033338898,,,,,584,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,9.0,10.745990071417303,,,,,586,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,10.0,3.681413225651944,,,,,587,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,11.0,-1.4229724970006294,,,,,574,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,12.0,-8.21337459212262,,,,,588,,median_residual_centered_month_level
monthly_decay_intensity,monthly_decay_intensity,1.0,0.5528505556190282,,,,,25,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,2.0,0.5025832215076584,,,,,30,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,3.0,0.28870541396408483,,,,,29,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,4.0,0.2571474841923511,,,,,24,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,5.0,0.1901596683577819,,,,,18,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,6.0,0.1240908647142982,,,,,16,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,7.0,0.19318212010991548,,,,,14,,pure_decay_segment_month_median
